eps0,frozen_raw_chi2,frozen_profiled_chi2,frozen_best_offset_mag,published_raw_chi2,published_profiled_chi2,published_best_offset_mag,frozen_profiled_delta_chi2,published_profiled_delta_chi2
0.052500000000,2616.932574733724,1764.979318236562,-0.106370573191,1777.995572415394,1776.859763626643,-0.003883883803,0.786863948568,12.667309338648
0.055000000000,2617.291034738543,1765.017424067382,-0.106390570212,1777.594452933170,1777.539200550929,0.000856621794,0.824969779388,13.346746262935
0.057500000000,2617.648619913498,1765.055580319327,-0.106410505735,1780.574880802624,1778.224823314550,0.005586667946,0.863126031333,14.032369026556
0.060000000000,2618.005333388980,1765.093786085610,-0.106430380048,1786.914489768791,1778.916544523603,0.010306301168,0.901331797615,14.724090235608
0.062500000000,2618.361178281125,1765.132040468831,-0.106450193435,1796.591095341672,1779.614277876588,0.015015567666,0.939586180837,15.421823588593
0.065000000000,2618.716157692014,1765.170342580884,-0.106469946178,1809.582692957516,1780.317938149471,0.019714513336,0.977888292890,16.125483861476
0.067500000000,2619.070274709641,1765.208691542832,-0.106489638560,1825.867456162755,1781.027441181128,0.024403183767,1.016237254838,16.834986893134
0.070000000000,2619.423532408050,1765.247086484841,-0.106509270858,1845.423734819981,1781.742703858816,0.029081624244,1.054632196847,17.550249570822
0.072500000000,2619.775933847287,1765.285526546053,-0.106528843351,1868.230053335849,1782.463644104052,0.033749879751,1.093072258059,18.271189816058
0.075000000000,2620.127482073610,1765.324010874510,-0.106548356315,1894.265108910388,1783.190180858516,0.038407994975,1.131556586516,18.997726570522
0.077500000000,2620.478180119590,1765.362538627072,-0.106567810024,1923.507769807717,1783.922234070356,0.043056014306,1.170084339078,19.729779782362
0.080000000000,2620.828031003980,1765.401108969279,-0.106587204750,1955.937073647648,1784.659724680558,0.047693981840,1.208654681285,20.467270392564
0.082500000000,2621.177037731953,1765.439721075305,-0.106606540764,1991.532225717767,1785.402574609597,0.052321941385,1.247266787311,21.210120321603
0.085000000000,2621.525203295147,1765.478374127851,-0.106625818336,2030.272597305935,1786.150706744282,0.056939936457,1.285919839856,21.958252456288
0.087500000000,2621.872530671662,1765.517067318031,-0.106645037732,2072.137724053045,1786.904044924742,0.061548010292,1.324613030037,22.711590636748
0.090000000000,2622.219022826204,1765.555799845336,-0.106664199220,2117.107304325028,1787.662513931738,0.066146205838,1.363345557342,23.470059643744
0.092500000000,2622.564682710148,1765.594570917493,-0.106683303062,2165.161197605075,1788.426039473956,0.070734565765,1.402116629498,24.233585185962
0.095000000000,2622.909513261574,1765.633379750395,-0.106702349522,2216.279422904152,1789.194548175726,0.075313132466,1.440925462401,25.002093887731
0.097500000000,2623.253517405307,1765.672225568050,-0.106721338860,2270.442157191490,1789.967967564713,0.079881948056,1.479771280056,25.775513276719
0.100000000000,2623.596698053085,1765.711107602430,-0.106740271337,2327.629733842822,1790.746226060008,0.084441054377,1.518653314436,26.553771772013
